央视台, #genre#
CCTV-1综合, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021973/1.m3u8
CCTV-2财经, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8?
CCTV-3综艺, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8?
CCTV-4中文国际, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265004/1.m3u8
CCTV-5体育, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004794/1.m3u8
CCTV-5+体育赛事, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/
CCTV-6电影, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/
CCTV-7国防军事, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000017218/1.m3u8
CCTV-8电视剧, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/
CCTV-9纪录, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/index.m3u8
CCTV-10科教, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000023734/1.m3u8
CCTV-11戏曲, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8?
CCTV-12社会与法, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000001640/1.m3u8
CCTV-13新闻, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8?
CCTV-14少儿, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000008170/
CCTV-15音乐, http://[2409:8087:74f0:22::4]:6410/270000001128/9900000512/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000512
CCTV-16奥匹, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000233001/1.m3u8
CCTV-17农业农村, http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000056836/1.m3u8

卫视台, #genre#
湖南卫视, http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226656/index.m3u8
浙江卫视, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010070/1.m3u8?
江西卫视, http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000011210/1.m3u8
江苏卫视, http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010059/1.m3u8
北京卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel24/1300.m3u8
东方卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel26/1300.m3u8
天津卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel28/1300.m3u8
重庆卫视, https://sjlivecdn9.cbg.cn/202406011414/app_2/_definst_/ls_2.stream/chunklist.m3u8
吉林卫视, http://stream1.jlntv.cn/jlws/playlist.m3u8
辽宁卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel32/2300.m3u8
宁夏卫视, https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
青海卫视, http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=397a2b0a1717226499
陕西卫视, http://stream.snrtv.com/sxbc-star-hkBGK7.m3u8
山西卫视, https://livehhhttps.sxrtv.com/lsdream/q8RVWgs/1000/z3sq9R0.m3u8
山东卫视, http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8
安徽卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel23/1300.m3u8
湖北卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel21/1300.m3u8
东南卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel80/1300.m3u8
广东卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel16/1300.m3u8
深圳卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel17/1300.m3u8
云南卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel61/1300.m3u8
贵州卫视, http://9bwaz8y2.gzstv.com/live/CH01_lo.m3u8?txSecret=4a9d1955dcbccbf648dff7624ebadf53&txTime=665AD640
四川卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel31/1300.m3u8
新疆卫视, http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel64/1300.m3u8
西藏卫视, https://tv.vtibet.cn/live/vuXz3cg3TmRUYg.m3u8?secret=bab5dee50483288d1cd0b1ab0d2156e5&time=665ad678
海南卫视, https://live2.hnntv.cn/srs/tv/lywsgq.m3u8?_upt=7790f2401717235861

国际港澳台体育, #genre#
三立新闻, http://211.72.65.236:8543/.m3u8
NHK News日本, https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
咪咕体育, http://gslbserv.itv.cmvideo.cn:80/3000000010000005180/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=3
咪咕体育, http://gslbserv.itv.cmvideo.cn:80/3000000010000015686/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=3
超级体育, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
精品体育, http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
五星体育, http://[2409:8087:5e08:24::15]:6610/000000001000/2000000002000000007/index.m3u8?IAS
